model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
lucid_base,(Intercept),0.2612413364196793,0.03760144136098522,6.947641552133158,5.35495110677416e-12,0.18748896636977264,0.33499370646958593,1629
lucid_base,mortalityfirst,0.34550871654967746,0.023239783959661038,14.867122566603964,5.659873187930673e-47,0.2999256462088894,0.39109178689046553,1629
lucid_base,ramean,0.08993176947802602,0.07058456090249422,1.2740997227744761,0.20281014871482198,-0.048514483300261826,0.22837802225631387,1629
lucid_ctrl,(Intercept),0.11823873937122413,0.06067019709963792,1.948876796576779,0.0514824444331117,-7.615155875878854e-4,0.23723899433003615,1629
lucid_ctrl,mortalityfirst,0.34208430504870563,0.023213071251272557,14.736710250262654,3.18583624287523e-46,0.29655352503917454,0.3876150850582367,1629
lucid_ctrl,ramean,0.18164456650077176,0.07259926432856055,2.502016627588784,0.01244667677214211,0.039246298851622285,0.32404283414992124,1629
lucid_ctrl,female_imp,0.026001279427214228,0.024078185274942772,1.0798687330590793,0.2803612810336825,-0.021226359902159295,0.07322891875658775,1629
lucid_ctrl,age01_imp,0.25506947946362557,0.05569928733290279,4.579402927350391,5.019007252109687e-6,0.1458193086960228,0.36431965023122836,1629
lucid_ctrl,education01_7_imp,0.02385874891930716,0.051625422985364135,0.46215115614783714,0.6440349472525164,-0.07740082812682561,0.12511832596543992,1629
lucid_ctrl,income01_imp,-0.03454113648111863,0.047185024628112054,-0.7320359956014433,0.4642524180602936,-0.12709118954525594,0.05800891658301868,1629
lucid_ctrl,ideology01_imp,-0.010615623026900898,0.03258159663263005,-0.32581653829295426,0.7446052183564348,-0.07452209591804117,0.05329084986423937,1629
lucid_ctrl,missing_covs,NA,NA,NA,NA,NA,NA,1629
lucid_int,(Intercept),0.21776324053334617,0.04756464209749534,4.578258784897136,5.045273407319005e-6,0.12446876653446129,0.3110577145322311,1629
lucid_int,mortalityfirst,0.4329516782836188,0.07208114506952427,6.006448397372501,2.335188996115554e-9,0.29156992457012465,0.574333431997113,1629
lucid_int,ramean,0.1783682838579173,0.09341485083405487,1.909421063838944,0.05638374064217108,-0.004857931833640722,0.3615944995494753,1629
lucid_int,mortalityfirst:ramean,-0.1788152067332239,0.14114986264135598,-1.2668464806626898,0.20539172791448274,-0.45567006381693953,0.09803965035049175,1629
mturk_base,(Intercept),0.10350813638007744,0.049029959612871724,2.111120164025256,0.035086667178884576,0.007258502541521161,0.19975777021863372,766
mturk_base,mortalityfirst,0.43898880398878803,0.032242462903811976,13.61523793323143,5.997220540307404e-38,0.3756943351977016,0.5022832727798745,766
mturk_base,ramean,0.2986018373392856,0.09067265215480985,3.2931852134364403,0.0010362378875201715,0.1206043509456787,0.4765993237328925,766
mturk_ctrl,(Intercept),0.08094853160383396,0.09020488944849435,0.8973851871971349,0.36979872026747396,-0.09613293002326807,0.258029993230936,766
mturk_ctrl,mortalityfirst,0.4392011771805491,0.03239259577394021,13.558690394731679,1.1936253923240437e-37,0.3756111851012343,0.5027911692598639,766
mturk_ctrl,ramean,0.3067184359698138,0.09463305044883372,3.2411344082757916,0.0012426365718820713,0.12094403954666658,0.49249283239296104,766
mturk_ctrl,female_imp,-0.0029316891047253134,0.03507872224457953,-0.08357456934390838,0.9334167818199681,-0.07179482329910976,0.06593144508965913,766
mturk_ctrl,age01_imp,0.046745703292055955,0.09662480858669038,0.4837857272453625,0.6286778586819457,-0.14293871890037865,0.23643012548449058,766
mturk_ctrl,education01_7_imp,0.007508122072227241,0.07653418846298954,0.09810154419887818,0.9218776304884747,-0.1427363496003279,0.15775259374478237,766
mturk_ctrl,income01_imp,-0.008004829188675056,0.07627964172595073,-0.10494057139693896,0.9164507638051553,-0.15774959947560874,0.1417399410982586,766
mturk_ctrl,ideology01_imp,0.003552711723504319,0.049106421950825166,0.07234719171887498,0.9423447196672745,-0.09284823757641719,0.09995366102342582,766
mturk_ctrl,missing_covs,0.04075678518809705,0.060844363859225405,0.6698530907874285,0.5031557149508836,-0.07868694951228064,0.16020051988847472,766
mturk_int,(Intercept),0.08125289738293696,0.06279773401613048,1.2938826321673649,0.19609799456495933,-0.042024208183864153,0.20453000294973808,766
mturk_int,mortalityfirst,0.4856596430025477,0.09754433789542906,4.9788604185636265,7.915055718569077e-7,0.29417210243158154,0.6771471835735139,766
mturk_int,ramean,0.3422167633916099,0.12208709916450598,2.8030542598976056,0.0051907373311228435,0.10254976827071305,0.5818837585125067,766
mturk_int,mortalityfirst:ramean,-0.09157270491237107,0.18204429991682305,-0.5030242910885487,0.6150925531335323,-0.4489406056859258,0.26579519586118366,766
kam_base,(Intercept),0.23990642094502904,0.05147256178221478,4.660860323216387,3.7271408356408095e-6,0.1388587678399846,0.3409540740500735,752
kam_base,mortalityfirst,0.4048449678287258,0.03380945139800016,11.97431342682693,2.3462655067358933e-30,0.3384724074150448,0.4712175282424068,752
kam_base,ramean,0.17584122738393584,0.10217775089721823,1.7209346050376129,0.08567566267120252,-0.02474762170815009,0.3764300764760218,752
kam_ctrl,(Intercept),0.2026157807243489,0.09232322519555324,2.194634993471913,0.028498152023719792,0.021370737089267344,0.3838608243594305,752
