survey,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
lucid,(Intercept),0.6859364228004792,0.0234742961585785,29.220745029657003,4.893143747549294e-154,0.6398967927824527,0.7319760528185056,1811
lucid,Z_Hiscox_expert,0.11108954219079974,0.021140632618544913,5.2547879808171,1.65751906117153e-7,0.06962687606740489,0.15255220831419458,1811
lucid,Z_Hiscox_valencepositive,0.012792310377626894,0.028655150362257513,0.4464227273598954,0.6553454395768878,-0.04340841708517015,0.06899303784042395,1811
lucid,Z_Hiscox_valencenegative,-0.09150457462958514,0.029920551501237094,-3.0582516042794796,0.002259019926078881,-0.15018710601397578,-0.032822043245194506,1811
lucid,Z_Hiscox_valenceboth,-0.04814268155139159,0.030446065807957907,-1.5812447445609932,0.1139971916874486,-0.10785589279460152,0.011570529691818335,1811
mturk,(Intercept),0.7836665245352177,0.015946525617214775,49.14340235274981,0,0.7523991534536519,0.8149338956167834,2972
mturk,Z_Hiscox_expert,0.12601768782547393,0.015228173517607189,8.275298917481415,1.9124921404464186e-16,0.09615883557771644,0.1558765400732314,2972
mturk,Z_Hiscox_valencepositive,-0.03514125058168062,0.019350466027831695,-1.8160415636056053,0.06946487989602092,-0.07308294499317591,0.002800443829814668,2972
mturk,Z_Hiscox_valencenegative,-0.14643806179869365,0.021279805138767444,-6.88155088092952,7.193865778498861e-12,-0.18816273460760755,-0.10471338898977975,2972
mturk,Z_Hiscox_valenceboth,-0.15146251310812886,0.02119331214549563,-7.146712702021912,1.1139417676366852e-12,-0.1930175935819158,-0.10990743263434191,2972
tess,(Intercept),0.723100545990919,0.021058412567720158,34.33784686597599,4.448768921110371e-205,0.6818027730409859,0.7643983189408521,2084
tess,Z_Hiscox_expert,0.08698715545333266,0.019923105516040377,4.3661443936688515,1.3266556903429913e-5,0.0479158396353393,0.12605847127132602,2084
tess,Z_Hiscox_valencepositive,-0.01898872285012214,0.026503397868769717,-0.7164637132243901,0.47378553778786925,-0.07096468751822671,0.032987241817982425,2084
tess,Z_Hiscox_valencenegative,-0.16983082095953658,0.027687237316141304,-6.133902744443462,1.0235991272833727e-9,-0.22412841991747684,-0.11553322200159633,2084
tess,Z_Hiscox_valenceboth,-0.10854615096102273,0.027997445799830857,-3.87700191428457,1.0903351532692149e-4,-0.16345210154496312,-0.05364020037708234,2084
hiscox,(Intercept),0.7019627674355301,0.024369118845326044,28.805422628982967,6.813432399373071e-147,0.6541633928177268,0.7497621420533334,1578
hiscox,Z_Hiscox_expert,0.11069597037632661,0.023727300640016866,4.665341922192121,3.3421940806205076e-6,0.06415550499635098,0.15723643575630225,1578
hiscox,Z_Hiscox_valencepositive,-0.05868193703217184,0.031623510931914026,-1.8556426944027524,0.06369143643394345,-0.12071060763610195,0.0033467335717582633,1578
hiscox,Z_Hiscox_valencenegative,-0.12990812029105564,0.03298408930541532,-3.9385086272406906,8.557457173001433e-5,-0.19460552897224878,-0.0652107116098625,1578
hiscox,Z_Hiscox_valenceboth,-0.1806002809927798,0.03334743230908688,-5.415717747587056,7.050907690012391e-8,-0.24601037725440983,-0.11519018473114977,1578
