survey,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
lucid,(Intercept),-0.17150760719225502,0.03034689387124942,-5.651570401896747,1.7170719983662527e-8,-0.23100701386012243,-0.11200820052438762,3503
lucid,Z_health_rumorrumor,-0.008250700964845174,0.0443475009902431,-0.18604658167007904,0.8524190197508835,-0.09520029150010512,0.07869888957041477,3503
lucid,Z_health_rumorrumor_nonpartisan,-0.017681581996934634,0.04351135400254209,-0.4063670828515613,0.6844977608851663,-0.10299178730000551,0.06762862330613624,3503
lucid,Z_health_rumorrumor_republican,-0.07707996342921468,0.04289998469564208,-1.7967363852473521,0.07246371980172753,-0.16119149215043088,0.007031565292001524,3503
lucid,Z_health_rumorrumor_democrat,-0.030755476258947888,0.04273921991443249,-0.7196078056764474,0.4718145786818897,-0.1145518027345688,0.05304085021667302,3503
ssi,(Intercept),-0.1899109792284881,0.04325389630358108,-4.390609759074236,1.2049881563279444e-5,-0.27475172246722473,-0.10507023598975146,1593
ssi,Z_health_rumorrumor,-0.030536305116559168,0.06291029847678162,-0.48539437669063423,0.6274635783679641,-0.1539322748733698,0.09285966464025147,1593
ssi,Z_health_rumorrumor_nonpartisan,-0.17951577236386693,0.06077565203053727,-2.9537449022129394,0.0031856084381714322,-0.29872472068380634,-0.06030682404392751,1593
ssi,Z_health_rumorrumor_republican,-0.17486889498534752,0.0619027368868811,-2.82489763424995,0.004788698168663191,-0.29628857401574593,-0.0534492159549491,1593
ssi,Z_health_rumorrumor_democrat,-0.18629480855286218,0.06122198459063135,-3.0429397184450373,0.0023812249344221897,-0.306379219879978,-0.06621039722574634,1593
