survey,term,estimate,std.error,statistic,p.value,conf.low,conf.high,nobs
lucid,(Intercept),0.39682539682539747,0.016482887671549463,24.074992485105867,2.43300315479443e-111,0.3644979251159883,0.42915286853480666,1813
lucid,mortality_frame,0.23905000596729742,0.022817779096392155,10.476479983325587,5.643215404050965e-25,0.19429807154239792,0.2838019403921969,1813
mturk,(Intercept),0.25999999999999973,0.031093957143700245,8.36175333999509,1.2093484808214333e-15,0.19886068626942058,0.3211393137305789,379
mturk,mortality_frame,0.3545251396648048,0.04793373672932303,7.396150683322948,9.171713802657003e-13,0.2602741649616116,0.448776114367998,379
original,(Intercept),0.28289473684210525,0.036653496956407725,7.718083138930893,1.699024975843176e-13,0.2107689988334555,0.355020474850755,307
original,mortality_frame,0.49775042444821743,0.049552152420970705,10.044980896482048,1.0692308794093801e-20,0.400243068805448,0.5952577800909868,307
