facet,variable,condition,Survey,coef,se,li,ui
Welfare,Assistance to the poor,CATE: African-Americans,Original,1.03953221229494,0.0722261368157177,0.8979689841361334,1.1810954404537466
Welfare,Assistance to the poor,CATE: Latinos,Original,1.11924184317017,0.0887811568644088,0.9452307757159288,1.2932529106244113
Welfare,Assistance to the poor,ATE: Assistance to the poor,Original,1.02830165161912,0.0325441676930445,0.9645150829407527,1.092088220297487
Welfare,Assistance to the poor,CATE: Whites,Original,1.03182616637912,0.0382789231093193,0.9567994770848541,1.1068528556733859
Welfare,Assistance to the poor,CATE: African-Americans,Lucid,0.571275836646196,0.117383232526909,0.34120470089345434,0.8013469723989376
Welfare,Assistance to the poor,CATE: Latinos,Lucid,0.62987636195724,0.169051162961389,0.2985360825529175,0.9612166413615624
Welfare,Assistance to the poor,ATE: Assistance to the poor,Lucid,0.748528728546073,0.0412739178416129,0.6676318495765117,0.8294256075156343
Welfare,Assistance to the poor,CATE: Whites,Lucid,0.800137693442467,0.0470220061292281,0.7079745614291799,0.8923008254557541
Asian Disease,Mortality Frame,ATE: Mortality frame,Lucid,0.478441360963326,0.0456681406087561,0.38893180537016403,0.567950916556488
Asian Disease,Mortality Frame,ATE: Mortality frame,Original,0.996211606560929,0.099175062334845,0.8018284843846328,1.1905947287372252
Kam and Simas,Mortality frame,ATE: Mortality frame,Lucid,0.869780757903078,0.144807829912197,0.5859574112751718,1.1536041045309842
Kam and Simas,RA x MF,CATE: RA X MF,Lucid,-0.35923183541774,0.283563826320807,-0.9150169350065218,0.19655326417104174
Kam and Simas,Mortality frame,ATE: Mortality frame,Original,0.818434223533162,0.202208353103679,0.42210585144995116,1.2147625956163728
Kam and Simas,RA x MF,CATE: RA X MF,Original,-0.0114868325262414,0.427813499613204,-0.8500012917681211,0.8270276267156383
