model,term,estimate,robust.std.error,std.error,statistic,p.value,nobs,logLik,AIC
lucid_base,(Intercept),-0.6339409816102218,0.1061507273560045,0.10847331238325233,-5.8442115178562455,5.089732341652598e-9,1629,-1027.211891579446,2060.423783158892
lucid_base,mortalityfirst,0.8975716136362613,0.06456756993467175,0.06451990841457829,13.911545067126207,5.390232740609015e-44,1629,-1027.211891579446,2060.423783158892
lucid_base,ramean,0.2531943448785548,0.19613371354321135,0.1990280937253549,1.2721537956744218,0.20331848049612036,1629,-1027.211891579446,2060.423783158892
lucid_ctrl,(Intercept),-1.0403318452181953,0.1758504064665334,0.17741550716962987,-5.863815749902386,4.523494145243219e-9,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,mortalityfirst,0.8982720586486381,0.06511437620438727,0.06490891340249184,13.838963118648564,1.4833076803214342e-43,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,ramean,0.5157921957990796,0.20523255443016927,0.20890733234816056,2.468999962813518,0.013549123254585306,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,female_imp,0.07007549279736884,0.06786120853516817,0.06751994429890544,1.037848794530253,0.2993404558957085,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,age01_imp,0.710791137928559,0.15759851632242303,0.15574796355848547,4.563726688225026,5.025349264005845e-6,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,education01_7_imp,0.06594864295546919,0.1453347310209902,0.14202911842876906,0.4643318474763609,0.6424100100398458,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,income01_imp,-0.09648419423328237,0.1326653440409005,0.12978197220867818,-0.7434329482845594,0.45721960258941763,1629,-1015.7621403177712,2047.5242806355425
lucid_ctrl,ideology01_imp,-0.028388264246143585,0.09192934528953817,0.09199573680237474,-0.3085823890636069,0.7576392189814167,1629,-1015.7621403177712,2047.5242806355425
lucid_int,(Intercept),-0.7673450923790192,0.14079183028343029,0.14839480421723902,-5.170970078276343,2.3288185894122843e-7,1629,-1026.3564343507435,2060.712868701487
lucid_int,mortalityfirst,1.1545917626326139,0.20304496751051998,0.20646291074281273,5.592247820582501,2.2414857594875722e-8,1629,-1026.3564343507435,2060.712868701487
lucid_int,ramean,0.5220182893075263,0.2693888274855567,0.284116405356842,1.8373394829203415,0.06615979463762292,1629,-1026.3564343507435,2060.712868701487
lucid_int,mortalityfirst:ramean,-0.5232160836292923,0.3927720275561814,0.39884706115539925,-1.3118213335046645,0.18958042506561734,1629,-1026.3564343507435,2060.712868701487
mturk_base,(Intercept),-1.1284099881421479,0.16314625317192372,0.16095652154848936,-7.010650934092198,2.3721188457067403e-12,766,-448.0458752891135,902.091750578227
mturk_base,mortalityfirst,1.1815410185035193,0.09742517735729107,0.09729824900445865,12.143497242682916,6.21133190239054e-34,766,-448.0458752891135,902.091750578227
mturk_base,ramean,0.9063107761381719,0.28277672725869973,0.27618853064423504,3.281493167091765,0.0010325902630945202,766,-448.0458752891135,902.091750578227
mturk_ctrl,(Intercept),-1.1929074894513663,0.2805427053822142,0.2801320901198289,-4.258375000668755,2.0591830957349722e-5,766,-447.87750335951216,911.7550067190243
mturk_ctrl,mortalityfirst,1.18413367830377,0.09789420076557327,0.09750739432498659,12.144039808479754,6.170269180997139e-34,766,-447.87750335951216,911.7550067190243
mturk_ctrl,ramean,0.9526748332505891,0.29304794485320995,0.289758757139011,3.287820677645804,0.0010096612836368395,766,-447.87750335951216,911.7550067190243
mturk_ctrl,female_imp,0.008945413301534406,0.1017024825807472,0.10162248694176843,0.08802592389478024,0.9298560718263686,766,-447.87750335951216,911.7550067190243
mturk_ctrl,age01_imp,0.1594063181806383,0.2902773017337809,0.3037118459982762,0.5248603907980035,0.5996802461381657,766,-447.87750335951216,911.7550067190243
mturk_ctrl,education01_7_imp,-0.0029540006980351254,0.2282476802282881,0.22400347168548299,-0.013187298731614103,0.9894783629048501,766,-447.87750335951216,911.7550067190243
mturk_ctrl,income01_imp,-0.0405864165565091,0.22968075902349708,0.2278859496846757,-0.1780996880793584,0.8586446869930776,766,-447.87750335951216,911.7550067190243
mturk_ctrl,ideology01_imp,0.02092924654500911,0.1473820532284915,0.14715976230588002,0.1422212581555172,0.8869052408856809,766,-447.87750335951216,911.7550067190243
mturk_int,(Intercept),-1.2254854412714604,0.22913566304579852,0.21942237619929805,-5.5850522745153866,2.3362992940438982e-8,766,-447.8231078710608,903.6462157421216
mturk_int,mortalityfirst,1.3704348364914896,0.3098633306750379,0.30115430993072845,4.550606753085211,5.34914392688009e-6,766,-447.8231078710608,903.6462157421216
mturk_int,ramean,1.0904852191996741,0.41158956979417866,0.3936748178866346,2.7700151740813097,0.005605368118990067,766,-447.8231078710608,903.6462157421216
mturk_int,mortalityfirst:ramean,-0.36787831948490446,0.5685891674884399,0.5535501104524522,-0.6645799766604938,0.5063191797863962,766,-447.8231078710608,903.6462157421216
kam_base,(Intercept),-0.7054788323810173,0.15375105961739322,0.15486613229740667,-4.555410675758388,5.228332991287194e-6,752,-453.19594941057187,912.3918988211437
kam_base,mortalityfirst,1.0683319184694136,0.0976011413881517,0.09740483029293048,10.96795626311924,5.449011643723384e-28,752,-453.19594941057187,912.3918988211437
kam_base,ramean,0.5195403849350984,0.3025689220760677,0.30559844027307265,1.7000753815067062,0.08911674730326374,752,-453.19594941057187,912.3918988211437
kam_ctrl,(Intercept),-0.8139846037947172,0.2751324615971204,0.2710496727438514,-3.0030827765062553,0.002672597275650994,752,-450.8633831916756,917.7267663833512
kam_ctrl,mortalityfirst,1.0913600401065395,0.09950731500228983,0.09903929757179865,11.019464665683406,3.0788465040430078e-28,752,-450.8633831916756,917.7267663833512
kam_ctrl,ramean,0.5873928303722662,0.32453878507942585,0.31958249309582204,1.8380006510436266,0.06606230937563327,752,-450.8633831916756,917.7267663833512
kam_ctrl,female_imp,0.0994555977344677,0.10039356530842079,0.09888246018293413,1.005796149797176,0.3145136397775401,752,-450.8633831916756,917.7267663833512
kam_ctrl,age01_imp,0.27887434840360387,0.22513454648159842,0.21848317879823528,1.2764110717243755,0.20181024444654347,752,-450.8633831916756,917.7267663833512
kam_ctrl,education01_7_imp,-0.21881315731478007,0.20949422153502337,0.20094831283656253,-1.088902684606004,0.2761968022684677,752,-450.8633831916756,917.7267663833512
kam_ctrl,income01_imp,0.22355004577144125,0.2326348949979348,0.22532817580722905,0.9921087097544826,0.32114449825516217,752,-450.8633831916756,917.7267663833512
kam_ctrl,ideology01_imp,-0.1899357170071123,0.2105328152686998,0.2080932157361443,-0.9127434372869937,0.36137749289666105,752,-450.8633831916756,917.7267663833512
kam_int,(Intercept),-0.6996344976084565,0.22867617434561793,0.22739473894341364,-3.0767400374313763,0.0020927772823016617,752,-453.1953315242686,914.3906630485372
kam_int,mortalityfirst,1.0585505087637932,0.2938384312223614,0.29433992076625437,3.5963538551212193,3.2270875053218984e-4,752,-453.1953315242686,914.3906630485372
kam_int,ramean,0.5064642429518317,0.4849526994347641,0.48195219924931226,1.0508599063158117,0.29332293702042384,752,-453.1953315242686,914.3906630485372
kam_int,mortalityfirst:ramean,0.02195134879220268,0.6212513087606155,0.6232817825136796,0.03521898025588595,0.971905127563557,752,-453.1953315242686,914.3906630485372
