facet,variable,condition,Survey,coef,se,li,ui
Rumor + Democratic correction,Rumor + Democratic correction,CATE: Democrats,Lucid,0.014284148768995083,0.0694690704725695,-0.12187522935724115,0.15044352689523133
Rumor + Democratic correction,Rumor + Democratic correction,ATE,Lucid,-0.03913177668954972,0.054379311037011685,-0.14571522632209263,0.06745167294299317
Rumor + Democratic correction,Rumor + Democratic correction,CATE: Republicans,Lucid,-0.1162293301829317,0.09472637840843011,-0.30189303186345473,0.06943437149759131
Rumor + Nonpartisan correction,Rumor + Nonpartisan correction,CATE: Democrats,Lucid,-0.04569577463770787,0.07195462194167929,-0.18672683364339926,0.09533528436798354
Rumor + Nonpartisan correction,Rumor + Nonpartisan correction,ATE,Lucid,-0.02249718757064428,0.05536173701071085,-0.13100619211163755,0.08601181697034899
Rumor + Nonpartisan correction,Rumor + Nonpartisan correction,CATE: Republicans,Lucid,-0.043092369935299815,0.09278460072644476,-0.22495018735913153,0.13876544748853192
Rumor + Republican correction,Rumor + Republican correction,CATE: Democrats,Lucid,-0.12440084115506717,0.06817674074685072,-0.25802725301889456,0.009225570708760233
Rumor + Republican correction,Rumor + Republican correction,ATE,Lucid,-0.09807280793685533,0.054583860349300295,-0.2050571742214839,0.008911558347773255
Rumor + Republican correction,Rumor + Republican correction,CATE: Republicans,Lucid,-0.06556708224280747,0.0960058661932624,-0.25373857998160176,0.12260441549598683
Rumor only,Rumor only,CATE: Democrats,Lucid,0.006287326702121879,0.07108826966878697,-0.13304568184870058,0.14562033525294432
Rumor only,Rumor only,ATE,Lucid,-0.010497791839408228,0.05642560989393414,-0.12109198723151914,0.10009640355270268
Rumor only,Rumor only,CATE: Republicans,Lucid,-0.06284489244606282,0.09952786123621957,-0.25791950046905315,0.13222971557692753
Rumor + Democratic correction,Rumor + Democratic correction,CATE: Democrats,Original,-0.40184099219402436,0.12884875007957158,-0.6543845423499847,-0.14929744203806405
Rumor + Democratic correction,Rumor + Democratic correction,ATE,Original,-0.2370324811533476,0.07789588460019549,-0.38970841496973074,-0.08435654733696443
Rumor + Democratic correction,Rumor + Democratic correction,CATE: Republicans,Original,-0.06944066016150183,0.10597692655729393,-0.2771554362137979,0.13827411589079427
Rumor + Nonpartisan correction,Rumor + Nonpartisan correction,CATE: Democrats,Original,-0.19381065694940947,0.13505151314628788,-0.4585116227161337,0.07089030881731478
Rumor + Nonpartisan correction,Rumor + Nonpartisan correction,ATE,Original,-0.22840716421516472,0.07732799269295075,-0.37997002989334816,-0.07684429853698124
Rumor + Nonpartisan correction,Rumor + Nonpartisan correction,CATE: Republicans,Original,-0.26325394498075394,0.09488715666778293,-0.44923277204960843,-0.07727511791189942
Rumor + Republican correction,Rumor + Republican correction,CATE: Democrats,Original,-0.1956179744366239,0.13171174771493344,-0.45377299995789344,0.0625370510846456
Rumor + Republican correction,Rumor + Republican correction,ATE,Original,-0.22249470276118244,0.07876204081294322,-0.37686830275455113,-0.06812110276781375
Rumor + Republican correction,Rumor + Republican correction,CATE: Republicans,Original,-0.18962047863454307,0.10154791192555422,-0.38865438600862934,0.009413428739543206
Rumor only,Rumor only,CATE: Democrats,Original,0.05376013147447616,0.13330865542646766,-0.20752483316140047,0.3150450961103528
Rumor only,Rumor only,ATE,Original,-0.038852913955352834,0.08004401332427316,-0.19573918007092822,0.11803335216022254
Rumor only,Rumor only,CATE: Republicans,Original,-0.08115048862810566,0.10523331151890866,-0.28740777920516664,0.1251068019489553
