file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
ReplicationArchive/.Rapp.history,3323057,doi:10.7910/DVN/DDWWJW/NQU9WK,248,6dc6375fce7f7b31e70e7b05a261ffe4,6dc6375fce7f7b31e70e7b05a261ffe4,,.Rapp.history
ReplicationArchive/.Rhistory,3323076,doi:10.7910/DVN/DDWWJW/HYIBWI,28326,ee1ce4ff53dab9566e0d3bd83b617733,ee1ce4ff53dab9566e0d3bd83b617733,,.Rhistory
ReplicationArchive/01_DemographicsTableAnalysis.R,3323061,doi:10.7910/DVN/DDWWJW/IDNUKQ,4265,19dbd72872c08892d03a40baafce68d5,19dbd72872c08892d03a40baafce68d5,,01_DemographicsTableAnalysis.R
ReplicationArchive/02_PoliticalTableAnalysis.R,3323056,doi:10.7910/DVN/DDWWJW/FX4F5A,3280,cc24e4395ed5dcf56d382a998d107016,cc24e4395ed5dcf56d382a998d107016,,02_PoliticalTableAnalysis.R
ReplicationArchive/03_PsychologicalTableAnalysis.R,3323066,doi:10.7910/DVN/DDWWJW/HKCEM0,3317,e48ea2e80647a969cd33dcd8bd2bdbb9,e48ea2e80647a969cd33dcd8bd2bdbb9,,03_PsychologicalTableAnalysis.R
ReplicationArchive/04_WelfareReplicationAnalysis.R,3323062,doi:10.7910/DVN/DDWWJW/NYWPRK,1713,79ed9c2f9c4d74eaf8cc14729073142e,79ed9c2f9c4d74eaf8cc14729073142e,,04_WelfareReplicationAnalysis.R
ReplicationArchive/05_AsianDiseaseReplicationAnalysis.R,3323070,doi:10.7910/DVN/DDWWJW/2FRRTV,1855,8f2082c4c3465b6e3d4dc9a8dbe60ab2,8f2082c4c3465b6e3d4dc9a8dbe60ab2,,05_AsianDiseaseReplicationAnalysis.R
ReplicationArchive/06_KamSimasReplicationAnalysis.R,3323075,doi:10.7910/DVN/DDWWJW/BNO8TZ,6532,a9afcb80357ad1cd2f6cf46d3e1db3d4,a9afcb80357ad1cd2f6cf46d3e1db3d4,,06_KamSimasReplicationAnalysis.R
ReplicationArchive/07_HiscoxReplicationAnalysis.R,3323079,doi:10.7910/DVN/DDWWJW/QRI7RH,2137,14ff3d0af0018cd36c7fdf009e82e2a9,14ff3d0af0018cd36c7fdf009e82e2a9,,07_HiscoxReplicationAnalysis.R
ReplicationArchive/08_HealthRumorsReplicationAnalysis.R,3323081,doi:10.7910/DVN/DDWWJW/8TTM4S,1922,b451b98b0ca5a27bc35dd3a829201fca,b451b98b0ca5a27bc35dd3a829201fca,,08_HealthRumorsReplicationAnalysis.R
ReplicationArchive/09_SurveyBehaviorTableAnalysis.R,3323073,doi:10.7910/DVN/DDWWJW/SFBUSC,2934,d2b1101834dd3a19d86c2606b3ca75d8,d2b1101834dd3a19d86c2606b3ca75d8,,09_SurveyBehaviorTableAnalysis.R
ReplicationArchive/10_StandardizedPlots.R,3323059,doi:10.7910/DVN/DDWWJW/HE1GGT,2592,73f3926f1637a35f1d9f321099471205,73f3926f1637a35f1d9f321099471205,,10_StandardizedPlots.R
ReplicationArchive/11_StandardizedPlotsHeterogeneousEffects.R,3323068,doi:10.7910/DVN/DDWWJW/LYWPKL,4156,272db93689f0d4f85c6b716e67c7d27c,272db93689f0d4f85c6b716e67c7d27c,,11_StandardizedPlotsHeterogeneousEffects.R
ReplicationArchive/12_DistanceTests.R,3323077,doi:10.7910/DVN/DDWWJW/5Y8JZ6,2250,15f9bc11317bc79d11ce996c8b8653c7,15f9bc11317bc79d11ce996c8b8653c7,,12_DistanceTests.R
ReplicationArchive/AsianDiseaseStacked.RData,3323055,doi:10.7910/DVN/DDWWJW/B5GGV8,3168,411fd83ef1964a42f7fdecfb3b15557a,411fd83ef1964a42f7fdecfb3b15557a,UNF:6:kzN74h30FNIrZKC2WAV9ZA==,AsianDiseaseStacked.tab
ReplicationArchive/DemosTableStacked.rdata,3323082,doi:10.7910/DVN/DDWWJW/3NHN3P,1861782,2836075eef80481af4fc4d6dc7cbc74e,2836075eef80481af4fc4d6dc7cbc74e,,DemosTableStacked.rdata
ReplicationArchive/HealthRumorsReplicationStacked.RData,3323058,doi:10.7910/DVN/DDWWJW/OHSP4M,7370,a97bec4481c401e0ff8c4697aef62f1f,a97bec4481c401e0ff8c4697aef62f1f,UNF:6:qqvV2gEsnlI7Gb3f7fI8dA==,HealthRumorsReplicationStacked.tab
ReplicationArchive/HiscoxReplicationStacked.RData,3323078,doi:10.7910/DVN/DDWWJW/3ADGBN,24662,f29289731480e66602fb96288a75da51,f29289731480e66602fb96288a75da51,UNF:6:PIR2gqWOUgLf5qKBOmzoaA==,HiscoxReplicationStacked.tab
ReplicationArchive/KamSimasReplicationStacked.RData,3323071,doi:10.7910/DVN/DDWWJW/1S463G,58447,74a86dd681b45a170af4646e04e0b543,74a86dd681b45a170af4646e04e0b543,UNF:6:3s7eN87kmQjwJQKE5ydNzQ==,KamSimasReplicationStacked.tab
ReplicationArchive/LucidValidationHelperFunctions.R,3323064,doi:10.7910/DVN/DDWWJW/6XDNHA,1497,309d5a8607f4656bc90abe9aa95a0232,309d5a8607f4656bc90abe9aa95a0232,,LucidValidationHelperFunctions.R
ReplicationArchive/PoliticsTableStacked.RData,3323072,doi:10.7910/DVN/DDWWJW/S7PCQ7,794724,c8bb85632bd85f5536fcbbb1fbd3df52,c8bb85632bd85f5536fcbbb1fbd3df52,UNF:6:EsdZq9vIeSPCpxNjsNxqCg==,PoliticsTableStacked.tab
ReplicationArchive/PsychTableStacked.RData,3323074,doi:10.7910/DVN/DDWWJW/ZTEPNG,280533,d618f7e43c5b9d261c0317c3c7ad9bad,d618f7e43c5b9d261c0317c3c7ad9bad,UNF:6:M8MpROEEuAihdlNznovWEg==,PsychTableStacked.tab
ReplicationArchive/README.txt,3323060,doi:10.7910/DVN/DDWWJW/Q2FS9E,1497,53ef69d402f025b18f10a97a4679cca9,53ef69d402f025b18f10a97a4679cca9,,README.txt
ReplicationArchive/StandardizedDemos.RData,3323083,doi:10.7910/DVN/DDWWJW/ILV44O,2989,2662c011126b2a929a6379e895e9dc67,2662c011126b2a929a6379e895e9dc67,UNF:6:JFzcCcnVzefW5cEt4RiFTQ==,StandardizedDemos.tab
ReplicationArchive/StandardizedExperiments.RData,3323067,doi:10.7910/DVN/DDWWJW/ZQ5IA4,1910,1628770a5110fe53e8119e76ec26cc06,1628770a5110fe53e8119e76ec26cc06,UNF:6:wd6znXBWERzgvIxcVunOew==,StandardizedExperiments.tab
ReplicationArchive/SurveyBehavior.RData,3323069,doi:10.7910/DVN/DDWWJW/BMFRAB,16641,73fdf3adbc4cd2dc2decc8a904990b0b,73fdf3adbc4cd2dc2decc8a904990b0b,UNF:6:iKVhBneAO51WljUUSrDtlQ==,SurveyBehavior.tab
